"Region","Class","Province","HR","Index_of_remoteness","Area_sq_km","Population","Dwellings","Households","Cpls_w_0_ch","Cpls_w_children","Cpls_w_1_ch","Cpls_w_2_ch","Cpls_w_3_or_more_ch","Sgls_w_ch","Sgls_w_1_ch","Sgls_w_2_ch","Sgls_w_3_or_more_ch","Not_in_families","Commute_wi_CSD","Commute_wi_CD_not_CSD","Commute_wi_prov_not_CD","Commute_extra_prov","Population_Density","MIZ_score"
"Trinity Bay North","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.5046",26.95331,1819,933,813,310,180,115,50,15,115,80,25,10,295,205,145,75,10,71.5,2
"Bonavista","Weak","Newfoundland and Labrador","Eastern Regional Health Authority","0.507",33.28247,3448,1749,1520,535,350,200,120,25,195,140,35,15,575,840,85,45,35,109.4,1
"Division No. 7, Subd. F","Weak","Newfoundland and Labrador","Eastern Regional Health Authority","0.4848",322.71205,846,674,396,185,75,40,30,5,40,30,5,5,125,45,90,25,10,2.9,1
"Division No. 7, Subd. E","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.4891",1821.13136,2644,1682,1152,495,305,165,125,20,95,60,25,10,340,190,425,95,10,1.6,2
"Musgravetown","Moderate","Newfoundland and Labrador","Eastern Regional Health Authority","0.3857",13.6838,564,285,230,105,65,30,30,5,20,10,10,0,65,20,80,50,0,41.4,2
"Port Blandford","Weak","Newfoundland and Labrador","Eastern Regional Health Authority","0.3671",51.23127,601,328,266,135,60,30,30,5,20,10,5,5,65,25,65,40,0,11.9,1
"Happy Adventure","Weak","Newfoundland and Labrador","Central Regional Health Authority","0.4855",10.0912,200,149,92,45,15,10,0,5,10,5,5,5,40,10,15,10,0,20.8,1
"Eastport","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4824",19.24694,501,334,238,115,40,20,10,5,15,15,5,5,80,45,40,10,0,26.9,2
"Sandringham","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4659",9.95189,229,125,104,55,20,15,5,0,10,10,5,0,25,20,40,0,10,23.9,2
"Glovertown","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4556",72.55168,2083,948,840,380,250,120,105,25,45,30,15,5,220,265,80,100,25,29.6,2
"Gambo","Strong","Newfoundland and Labrador","Central Regional Health Authority","0.4472",100.53873,1978,967,796,355,230,110,95,20,70,50,15,5,240,250,45,225,15,21.5,3
"Hare Bay","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4742",37.67605,969,460,401,190,105,40,45,20,35,25,5,0,115,50,50,85,10,28.4,2
"Centreville-Wareham-Trinity","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4872",45.3353,1147,561,489,255,115,65,35,10,40,25,15,0,130,55,60,55,0,30.8,2
"Dover","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4779",12.12581,662,287,265,110,90,60,25,5,35,30,5,0,75,75,35,35,0,57.3,2
"New-Wes-Valley","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.5381",146.57853,2172,1157,912,435,220,125,80,20,75,45,20,10,260,505,30,65,35,16.3,2
"Indian Bay","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4908",104.30093,175,113,73,40,15,10,10,0,5,5,5,5,15,10,0,25,0,2,2
"Lumsden","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.5504",22.56537,501,295,212,100,65,35,25,5,10,10,5,0,55,40,0,100,0,24.5,2
"Musgrave Harbour","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.5082",74.23826,990,501,417,185,115,65,45,15,30,20,5,0,105,50,35,155,15,14.2,2
"Division No. 8, Subd. L","Strong","Newfoundland and Labrador","Central Regional Health Authority","0.4696",1432.16757,3060,1993,1298,595,340,165,140,35,110,75,30,5,325,150,90,225,75,2.3,3
"Carmanville","Strong","Newfoundland and Labrador","Central Regional Health Authority","0.4785",44.38101,740,378,314,130,85,45,30,10,25,20,5,0,95,80,15,55,10,17.2,3
"Division No. 8, Subd. H","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.5009",182.70179,1900,1171,852,410,195,120,60,20,70,45,20,5,220,110,155,55,10,10.7,2
"Summerford","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4937",16.08575,906,467,400,175,100,60,30,10,40,25,5,5,120,100,60,25,20,56.4,2
"Twillingate","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.5187",27.51543,2196,1261,1020,420,215,130,65,20,85,65,15,5,335,405,40,80,40,85.3,2
"Division No. 8, Subd. G","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4525",565.6108,433,556,207,95,45,30,10,5,15,15,5,0,60,20,25,10,0,0.8,2
"Campbellton","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4432",37.24992,452,268,208,100,45,30,10,0,20,15,5,0,60,20,70,50,0,12.7,2
"Birchy Bay","Weak","Newfoundland and Labrador","Central Regional Health Authority","0.4744",51.95104,550,260,227,125,60,30,20,5,10,10,0,0,50,60,95,10,0,11.1,1
"Comfort Cove-Newstead","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4744",29.94365,407,248,182,95,35,15,15,0,15,10,5,0,40,95,25,15,0,13.6,2
"Baytona","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.464",15.38376,262,129,116,55,30,15,10,5,5,5,0,0,30,10,35,15,0,17,2
"Division No. 8, Subd. F","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.45",106.96161,930,492,379,195,100,45,40,15,20,10,10,5,85,30,95,60,10,8.8,2
"Embree","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.444",18.54568,701,331,287,145,80,40,30,10,20,20,5,5,50,15,125,25,0,38.6,2
"Lewisporte","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4318",37.893,3409,1582,1456,610,380,185,155,45,105,75,25,5,430,620,65,195,15,92.4,2
"Division No. 8, Subd. E","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4511",756.64182,548,785,255,125,40,30,5,5,20,10,10,0,95,10,35,35,0,0.8,2
"Leading Tickles","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.5063",27.80349,292,150,126,55,30,20,15,5,10,5,0,0,35,30,20,15,0,10.9,2
"Point Leamington","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4751",29.66844,591,334,279,125,55,35,15,5,25,20,10,0,90,105,0,40,0,20.5,2
"Triton","Weak","Newfoundland and Labrador","Central Regional Health Authority","0.5119",7.78163,983,454,406,190,125,65,40,15,30,20,10,5,75,165,25,15,25,130.2,1
"Division No. 8, Subd. C","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4476",1278.10432,440,845,210,135,25,15,10,0,10,10,0,0,45,0,50,0,10,0.4,2
"South Brook","Weak","Newfoundland and Labrador","Central Regional Health Authority","0.4365",18.57551,482,256,221,100,50,30,20,0,20,15,0,0,60,30,55,10,15,53.1,1
"Robert's Arm","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.4628",40.40852,805,380,357,150,90,45,35,10,35,20,10,5,95,65,55,15,30,22.5,2
"Springdale","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.443",17.96364,2971,1306,1230,500,310,150,115,40,115,80,25,5,380,610,40,55,35,168.8,2
"King's Point","Weak","Newfoundland and Labrador","Central Regional Health Authority","0.4516",47.21352,659,332,275,115,85,55,30,10,20,15,5,0,70,55,65,20,20,14.2,1
"Burlington","Weak","Newfoundland and Labrador","Central Regional Health Authority","0.6083",4.21265,314,144,121,55,45,30,10,5,5,0,5,0,30,15,50,10,0,76.7,1
"Middle Arm","Weak","Newfoundland and Labrador","Central Regional Health Authority","0.6132",25.18589,474,195,183,90,65,40,20,5,10,5,0,5,35,20,45,15,10,18.8,1
"Division No. 8, Subd. A","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.6112",2561.89549,317,795,141,70,40,25,10,0,10,5,0,0,35,10,10,15,0,0.1,2
"Fleur de Lys","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.7029",42.06913,244,157,118,45,25,15,5,0,10,10,5,0,45,0,10,10,10,6.1,2
"LaScie","Weak","Newfoundland and Labrador","Central Regional Health Authority","0.7146",33.04667,872,429,381,155,110,60,40,5,30,20,10,0,110,130,45,0,20,29.9,1
"Brent's Cove","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.7124",1.02103,157,85,75,20,15,10,5,0,10,10,0,0,30,0,10,0,10,153.6,2
"Baie Verte","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.5418",390.5198,1313,646,545,220,155,75,70,15,45,30,10,5,155,330,50,20,10,3.5,2
"Coachman's Cove","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.7003",18.6741,105,70,52,25,10,5,5,0,0,5,0,0,20,0,10,0,0,5.8,2
"Ming's Bight","Moderate","Newfoundland and Labrador","Central Regional Health Authority","0.6132",3.79248,319,137,122,55,50,20,25,0,10,10,5,0,15,45,55,15,15,84.4,2
"Fogo Island","Weak","Newfoundland and Labrador","Central Regional Health Authority","0.5863",257.38128,2244,1460,979,445,245,125,90,30,55,45,10,5,275,480,45,15,0,9.4,1
"Englee","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.7238",29.47315,527,260,216,105,50,30,20,5,25,15,5,0,80,35,35,0,20,18.3,1
"Roddickton-Bide Arm","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.7157",51.34781,999,418,379,185,105,50,45,15,30,20,10,5,130,200,45,20,10,20.9,1
"Trout River","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.5135",5.91485,552,276,221,70,65,40,15,10,40,30,10,5,80,40,20,0,0,93.3,2
"Rocky Harbour","Weak","Newfoundland and Labrador","Western Regional Health Authority","0.4804",12.33771,947,523,428,175,105,60,30,10,35,20,10,5,140,205,45,10,0,78.4,1
"Daniel's Harbour","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.6038",8.59835,253,168,119,60,15,5,5,5,10,5,5,0,45,55,10,10,0,30.9,2
"Cow Head","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.5166",18.31222,428,255,203,90,35,15,15,5,20,15,10,0,70,75,40,10,15,24,2
"Parson's Pond","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.5239",16.3659,345,207,157,60,25,20,10,0,20,15,5,0,75,40,0,10,10,27.3,2
"Port Saunders","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.7238",41.05892,674,312,281,100,65,30,30,5,35,20,10,0,105,100,70,0,0,17.4,2
"St. Pauls","Moderate","Newfoundland and Labrador","Western Regional Health Authority","0.5112",5.28532,238,111,96,40,25,15,10,0,20,15,5,0,35,15,25,15,10,44.5,2
"Port au Choix","Weak","Newfoundland and Labrador","Western Regional Health Authority","0.7257",37.17188,789,408,363,145,70,50,20,5,45,30,10,0,135,105,80,25,0,22.2,1
"Bird Cove","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.7013",10.02322,179,93,76,35,25,20,5,0,5,0,0,0,20,0,25,0,10,19.1,1
"St. Anthony","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.5525",41.47658,2258,1040,920,350,275,130,125,20,80,50,25,0,270,685,45,35,10,61,1
"Division No. 9, Subd. D","Moderate","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.6355",1047.64224,643,558,291,150,55,40,20,5,25,15,5,0,90,15,85,10,0,0.7,2
"L'Anse au Loup","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.7376",3.47693,558,240,222,95,80,35,35,10,10,10,0,0,50,110,95,0,0,160.5,1
"L'Anse-au-Clair","Moderate","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.7275",64.22209,216,103,90,35,30,10,15,5,5,5,0,0,30,25,45,0,15,3.5,2
"Forteau","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.7344",7.44307,409,193,171,85,50,35,15,5,5,5,0,0,40,60,20,10,15,55,1
"Port Hope Simpson","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.7019",33.56012,412,176,152,60,60,30,15,10,15,10,5,0,35,45,30,0,0,12.7,1
"Mary's Harbour","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.7779",39.39708,341,154,125,50,50,25,25,0,5,0,5,0,25,60,15,10,0,8.9,1
"Cartwright, Labrador","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.692",3.26828,427,221,188,60,55,25,25,5,20,10,0,0,75,85,15,0,0,130.7,1
"North West River","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.5695",3.19977,547,277,246,100,60,40,20,5,25,15,5,0,85,55,145,0,0,170.9,1
"Happy Valley-Goose Bay","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.474",332.66808,8109,3271,3031,980,1105,520,470,120,350,230,90,35,1005,3550,220,50,20,26.5,1
"Division No. 10, Subd. D","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.637",83530.51848,705,369,249,65,130,55,60,25,10,10,5,0,55,340,15,0,0,0,1
"Labrador City","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.4449",39.64981,7220,3474,2909,920,1020,515,420,95,310,200,105,15,895,3015,430,20,55,186,1
"Wabush","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.4461",48.80698,1906,950,741,260,290,135,120,35,65,35,20,10,160,270,615,15,15,41.2,1
"Rigolet","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.811",3.613,305,127,114,30,45,25,15,5,20,15,0,5,35,45,0,10,0,84.4,1
"Hopedale","Weak","Newfoundland and Labrador","Labrador-Grenfell Regional Health Authority","0.811",3.35625,574,196,184,55,75,30,20,20,40,25,10,5,55,135,0,10,0,171,1
"Lot 64","Moderate","Prince Edward Island","Prince Edward Island","0.4215",84.83781,933,532,369,145,100,45,35,20,20,10,5,0,125,30,140,60,0,11.4,2
"Murray River","Moderate","Prince Edward Island","Prince Edward Island","0.4045",1.75973,304,182,134,45,30,15,15,0,15,10,5,0,50,10,75,30,0,207.3,2
"Lot 63","Moderate","Prince Edward Island","Prince Edward Island","0.3898",107.57709,815,422,351,115,105,50,30,15,40,20,5,0,115,15,185,30,0,8,2
"Lot 61","Strong","Prince Edward Island","Prince Edward Island","0.4028",85.53486,745,455,325,120,75,30,30,15,35,20,10,5,120,20,155,50,10,8.8,3
"Lot 59","Moderate","Prince Edward Island","Prince Edward Island","0.3897",81.97413,1186,634,489,180,120,60,40,20,70,45,15,5,150,20,250,150,15,15,2
"Lot 66","Moderate","Prince Edward Island","Prince Edward Island","0.3824",24.07968,206,79,73,25,30,15,5,10,10,5,0,0,20,0,25,40,0,8.6,2
"Lot 51","Moderate","Prince Edward Island","Prince Edward Island","0.3887",72.80169,791,337,318,105,100,40,50,5,40,25,5,10,105,10,195,95,10,10.9,2
"Lot 52","Moderate","Prince Edward Island","Prince Edward Island","0.3826",83.1276,740,352,315,100,85,45,30,15,50,35,10,5,115,20,205,85,0,9,2
"Montague","Moderate","Prince Edward Island","Prince Edward Island","0.3887",3.38183,1961,933,878,220,135,50,65,20,135,85,35,15,465,245,120,135,10,620.8,2
"Lot 53","Moderate","Prince Edward Island","Prince Edward Island","0.3831",77.339,489,285,201,65,55,20,25,10,25,10,5,5,60,0,95,45,0,6.8,2
"Cardigan","Strong","Prince Edward Island","Prince Edward Island","0.3887",5.76143,269,131,116,30,35,10,10,10,15,10,5,0,45,50,30,40,0,52.5,3
"Kings, Royalty","Strong","Prince Edward Island","Prince Edward Island","0.397",18.32936,280,203,119,50,30,15,10,5,15,10,5,0,35,10,65,40,0,18.8,3
"Georgetown","Moderate","Prince Edward Island","Prince Edward Island","0.3994",1.59445,555,297,236,60,60,25,20,15,30,10,15,5,110,85,55,25,10,348.1,2
"Lot 54","Moderate","Prince Edward Island","Prince Edward Island","0.3952",82.15701,319,173,124,50,40,20,15,5,15,15,0,0,30,0,80,25,0,4.1,2
"Lot 55","Moderate","Prince Edward Island","Prince Edward Island","0.4058",95.69622,398,284,166,70,45,20,20,5,15,5,5,5,60,15,100,15,10,4.6,2
"Lot 56","Moderate","Prince Edward Island","Prince Edward Island","0.4221",86.33929,328,244,132,45,40,20,15,5,20,10,5,0,50,10,90,20,0,4,2
"Lot 43","Moderate","Prince Edward Island","Prince Edward Island","0.4195",73.84416,692,469,300,105,75,35,25,20,35,20,10,0,100,35,220,60,10,9.5,2
"Lot 44","Moderate","Prince Edward Island","Prince Edward Island","0.4195",78.89805,772,507,321,110,90,35,30,25,30,15,10,5,105,0,255,35,10,10,2
"Lot 45","Weak","Prince Edward Island","Prince Edward Island","0.4259",70.21639,460,246,171,55,60,20,25,15,20,10,10,5,45,0,130,10,10,6.6,1
"Souris","Moderate","Prince Edward Island","Prince Edward Island","0.422",3.48032,1053,529,466,105,80,30,35,20,75,50,15,10,245,215,80,15,25,303.7,2
"Lot 46","Moderate","Prince Edward Island","Prince Edward Island","0.4269",84.75817,347,281,137,45,45,10,20,10,10,5,5,0,40,0,80,10,10,4.1,2
"Lot 47","Moderate","Prince Edward Island","Prince Edward Island","0.4392",91.57265,474,400,198,85,50,20,15,10,10,10,0,0,70,40,130,15,15,5.3,2
"Lot 42","Moderate","Prince Edward Island","Prince Edward Island","0.399",94.79225,249,164,102,35,25,5,15,5,20,15,5,5,30,0,75,35,10,2.6,2
"Lot 41","Strong","Prince Edward Island","Prince Edward Island","0.3917",71.99478,406,265,170,60,55,25,25,10,15,10,5,0,45,0,85,50,0,5.7,3
"St. Peters Bay","Strong","Prince Edward Island","Prince Edward Island","0.3914",4.33547,237,127,104,25,30,15,10,5,10,5,5,5,45,25,45,25,0,55.4,3
"Lot 40","Moderate","Prince Edward Island","Prince Edward Island","0.354",78.23375,427,217,178,70,50,15,20,5,20,10,5,5,65,10,85,60,10,5.6,2
"Morell","Moderate","Prince Edward Island","Prince Edward Island","0.3536",1.5216,297,137,122,40,40,15,20,5,10,5,0,0,45,60,30,35,0,203.2,2
"Lot 39","Strong","Prince Edward Island","Prince Edward Island","0.3532",84.86637,618,554,259,105,60,25,20,20,30,25,5,0,85,0,95,135,15,7.4,3
"Lot 38","Strong","Prince Edward Island","Prince Edward Island","0.3529",81.60631,529,401,210,75,65,25,25,20,20,15,10,5,60,0,30,150,0,6.6,3
"Lot 62","Strong","Prince Edward Island","Prince Edward Island","0.4016",81.72167,559,336,190,70,50,20,25,10,10,10,5,0,80,15,55,40,0,6.8,3
"Lot 60","Strong","Prince Edward Island","Prince Edward Island","0.3853",82.93753,307,207,137,55,35,25,5,5,10,5,5,0,45,0,50,30,0,3.7,3
"Lot 58","Moderate","Prince Edward Island","Prince Edward Island","0.3546",79.77319,437,292,183,65,60,30,10,15,20,15,5,0,55,0,105,40,10,5.9,2
"Lot 57","Strong","Prince Edward Island","Prince Edward Island","0.3924",97.72137,974,443,358,110,125,50,40,30,25,15,5,0,125,50,125,100,15,10.1,3
"Lot 50","Strong","Prince Edward Island","Prince Edward Island","0.3382",86.49859,942,376,324,115,100,35,40,30,30,15,10,0,95,30,190,80,10,11.5,3
"Lot 49","CA","Prince Edward Island","Prince Edward Island","0.3378",95.84562,1096,483,432,160,145,65,50,30,40,25,5,5,135,25,350,50,10,11.5,4
"Lot 48","CA","Prince Edward Island","Prince Edward Island","0.3134",81.42879,2045,811,760,235,275,95,115,60,110,70,25,10,220,35,795,55,25,28.4,4
"Lot 31","CA","Prince Edward Island","Prince Edward Island","0.3151",68.8846,1767,676,637,205,255,95,100,65,80,55,20,5,145,70,565,40,15,25.8,4
"Lot 65","CA","Prince Edward Island","Prince Edward Island","0.3294",93.44416,2347,1320,901,325,315,105,150,65,90,50,35,10,230,80,800,55,10,27.8,4
"Lot 30","Strong","Prince Edward Island","Prince Edward Island","0.3283",86.39986,849,438,335,120,110,45,40,25,25,10,10,5,100,0,310,20,0,9.9,3
"Rocky Point 3","CA","Prince Edward Island","Prince Edward Island","0.3399",0.04076,51,19,19,5,10,0,5,5,5,0,0,0,10,0,20,0,0,1250,4
"Lot 29","Strong","Prince Edward Island","Prince Edward Island","0.3232",84.79191,920,665,372,145,115,30,55,25,25,15,10,5,110,15,220,60,0,11,3
"Meadowbank","CA","Prince Edward Island","Prince Edward Island","0.3085",12.97572,355,200,145,60,40,20,10,5,10,0,5,0,45,0,105,20,0,38.2,4
